work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,remote_type,role_category,salary_band,international_job
2023,SE,FT,Machine Learning Scientist,222000,USD,222000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Scientist,222000,USD,222000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Architect,221800,USD,221800,US,100.0,US,M,Remote,Data Architecture / Infrastructure,Very High,False
2024,SE,FT,Data Engineer,221630,USD,221630,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,MI,FT,Analytics Engineer,221500,USD,221500,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Data Engineer,221484,USD,221484,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Analytics Engineer,221300,USD,221300,US,100.0,US,M,Remote,Data Analyst / BI,Very High,False
2022,SE,FT,Data Specialist,221300,USD,221300,US,100.0,US,L,Remote,Data Analyst / BI,Very High,False
2024,SE,FT,Machine Learning Engineer,221000,USD,221000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Engineer,221000,USD,221000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,EX,FT,Data Science,221000,USD,221000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Engineer,221000,USD,221000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Infrastructure Engineer,221000,USD,221000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,EX,FT,Analytics Engineer,221000,USD,221000,US,100.0,US,M,Remote,Data Analyst / BI,Very High,False
2023,SE,FT,Data Engineer,221000,USD,221000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Data Scientist,220800,USD,220800,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Machine Learning Engineer,220600,USD,220600,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2022,SE,FT,Data Engineer,220110,USD,220110,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,220067,USD,220067,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Scientist,220000,USD,220000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Scientist,220000,USD,220000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,MI,FT,Data Science,220000,USD,220000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Data Engineer,220000,USD,220000,CA,0.0,CA,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Data Engineer,220000,USD,220000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,220000,USD,220000,CA,0.0,CA,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,220000,USD,220000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Product Manager,220000,USD,220000,GB,0.0,GB,M,On-site,Management,Very High,False
2024,SE,FT,Computer Vision Engineer,220000,USD,220000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2024,MI,FT,Analytics Engineer,220000,USD,220000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2024,SE,FT,Data Architect,220000,USD,220000,US,0.0,US,M,On-site,Data Architecture / Infrastructure,Very High,False
2024,SE,FT,ML Engineer,220000,USD,220000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Analyst,220000,USD,220000,US,100.0,US,M,Remote,Data Analyst / BI,Very High,False
2023,MI,FT,Data Scientist,220000,USD,220000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,MI,FT,Data Engineer,220000,USD,220000,CA,100.0,CA,M,Remote,Data Engineer,Very High,False
2023,SE,FT,Data Product Manager,220000,USD,220000,US,0.0,US,M,On-site,Management,Very High,False
2023,SE,FT,Machine Learning Engineer,220000,USD,220000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,MI,FT,Research Scientist,220000,USD,220000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,AI Engineer,220000,USD,220000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,MI,FT,Research Engineer,220000,USD,220000,US,0.0,US,M,On-site,Research,Very High,False
2023,EN,FT,ML Engineer,220000,USD,220000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Science Engineer,220000,USD,220000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Engineer,220000,USD,220000,UA,100.0,UA,M,Remote,ML / AI Engineer,Very High,False
2023,EN,FT,Data Engineer,220000,USD,220000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Applied Scientist,220000,USD,220000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Infrastructure Engineer,220000,USD,220000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Business Intelligence Engineer,220000,USD,220000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Machine Learning Scientist,220000,USD,220000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,EN,FT,Computer Vision Engineer,220000,USD,220000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,MI,FT,Data Science Manager,220000,USD,220000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2022,SE,FT,Data Scientist,220000,USD,220000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2022,SE,FT,Data Engineer,220000,USD,220000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2022,SE,FT,Machine Learning Engineer,220000,USD,220000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0.0,US,L,On-site,Data Scientist,Very High,False
2024,EX,FT,Data Engineer,219650,USD,219650,US,100.0,US,M,Remote,Data Engineer,Very High,False
2023,EX,FT,Data Engineer,219650,USD,219650,US,100.0,US,M,Remote,Data Engineer,Very High,False
2024,SE,FT,Data Manager,219600,USD,219600,US,0.0,US,M,On-site,Management,Very High,False
2023,SE,FT,Data Engineer,219535,USD,219535,US,100.0,US,M,Remote,Data Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,219300,USD,219300,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,219100,USD,219100,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Applied Scientist,219100,USD,219100,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,EN,FT,Research Analyst,219000,USD,219000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,AI Scientist,219000,USD,219000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Scientist,219000,USD,219000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,219000,USD,219000,CA,0.0,CA,M,On-site,Data Scientist,Very High,False
2023,MI,FT,Machine Learning Engineer,219000,USD,219000,US,50.0,US,L,Hybrid,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,218755,USD,218755,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Scientist,218750,USD,218750,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Engineer,218540,USD,218540,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Scientist,218500,USD,218500,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,SE,FT,Data Engineer,218500,USD,218500,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Data Scientist,218500,USD,218500,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,MI,FT,Research Scientist,218213,USD,218213,US,0.0,US,M,On-site,Research,Very High,False
2024,SE,FT,Applied Scientist,218213,USD,218213,US,100.0,US,M,Remote,Data Scientist,Very High,False
2023,SE,FT,Applied Scientist,218213,USD,218213,US,100.0,US,M,Remote,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,218213,USD,218213,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,SE,FT,Data Engineer,218185,USD,218185,US,100.0,US,M,Remote,Data Engineer,Very High,False
2024,SE,FT,Data Scientist,218000,USD,218000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,218000,USD,218000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,EX,FT,Data Science,218000,USD,218000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Engineer,218000,USD,218000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2022,SE,FT,Data Scientist,218000,USD,218000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,MI,FT,Machine Learning Software Engineer,217600,USD,217600,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Prompt Engineer,217508,USD,217508,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Data Engineer,217508,USD,217508,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,MI,FT,Director of Data Science,217000,USD,217000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Engineer,217000,USD,217000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,216800,USD,216800,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Data Scientist,216800,USD,216800,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Machine Learning Engineer,216700,USD,216700,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,216700,USD,216700,CA,100.0,CA,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,216600,USD,216600,CA,0.0,CA,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Analytics Engineer,216450,USD,216450,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2022,SE,FT,Data Analyst,216200,USD,216200,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Data Scientist,216100,USD,216100,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Engineer,216027,USD,216027,US,100.0,US,M,Remote,Data Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,216000,USD,216000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Applied Scientist,216000,USD,216000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Applied Scientist,216000,USD,216000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Engineer,216000,USD,216000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2022,SE,FT,Data Engineer,216000,USD,216000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2022,SE,FT,Machine Learning Scientist,216000,USD,216000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Scientist,215625,USD,215625,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,SE,FT,Machine Learning Engineer,215500,USD,215500,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2024,MI,FT,Data Engineer,215500,USD,215500,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Analytics Engineer,215500,USD,215500,US,100.0,US,M,Remote,Data Analyst / BI,Very High,False
2022,SE,FT,Data Scientist,215300,USD,215300,US,100.0,US,L,Remote,Data Scientist,Very High,False
2023,SE,FT,Analytics Engineer,215050,USD,215050,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Data Scientist,215050,USD,215050,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,SE,FT,Data Scientist,215000,USD,215000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Machine Learning Engineer,215000,USD,215000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Engineer,215000,USD,215000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Computational Biologist,215000,CAD,165384,CA,0.0,CA,M,On-site,Data Analyst / BI,High,False
2024,MI,FT,Prompt Engineer,215000,USD,215000,AU,100.0,AU,M,Remote,Data Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,215000,USD,215000,CA,0.0,CA,M,On-site,ML / AI Engineer,Very High,False
2024,EX,FT,Head of Data,215000,USD,215000,US,100.0,US,M,Remote,Management,Very High,False
2024,SE,FT,Data Analytics Lead,215000,USD,215000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2024,SE,FT,Machine Learning Scientist,215000,CAD,165384,CA,0.0,CA,M,On-site,ML / AI Engineer,High,False
2024,SE,FT,Machine Learning Engineer,215000,CAD,165384,CA,0.0,CA,M,On-site,ML / AI Engineer,High,False
2023,SE,FT,Machine Learning Engineer,215000,USD,215000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Engineer,215000,USD,215000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Data Scientist,215000,USD,215000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Applied Scientist,215000,USD,215000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Architect,215000,USD,215000,US,100.0,US,M,Remote,Data Architecture / Infrastructure,Very High,False
2023,SE,FT,Computer Vision Engineer,215000,USD,215000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Research Scientist,215000,USD,215000,US,0.0,US,M,On-site,Research,Very High,False
2022,SE,FT,Data Engineer,215000,USD,215000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2022,SE,FT,Data Scientist,215000,USD,215000,US,0.0,US,L,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,214872,USD,214872,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,SE,FT,Data Scientist,214500,USD,214500,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Engineer,214500,USD,214500,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Engineer,214500,USD,214500,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Data Scientist,214500,USD,214500,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Data Engineer,214300,USD,214300,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,MI,FT,Data Engineer,214300,USD,214300,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Analytics Engineer,214200,USD,214200,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2024,SE,FT,Research Scientist,214000,USD,214000,US,100.0,US,M,Remote,Research,Very High,False
2023,SE,FT,Applied Scientist,214000,USD,214000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,214000,USD,214000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Analytics Engineer,214000,USD,214000,GB,0.0,GB,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Analytics Engineer,214000,USD,214000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2022,SE,FT,Machine Learning Engineer,214000,USD,214000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,MI,FT,Machine Learning Engineer,213900,USD,213900,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,213800,USD,213800,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,EN,FT,Applied Scientist,213660,USD,213660,US,0.0,US,L,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,213654,USD,213654,GB,0.0,GB,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Architect,213600,USD,213600,US,0.0,US,M,On-site,Data Architecture / Infrastructure,Very High,False
2023,SE,FT,Data Engineer,213600,USD,213600,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Analytics Engineer,213600,USD,213600,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Data Engineer,213580,USD,213580,US,100.0,US,M,Remote,Data Engineer,Very High,False
2023,SE,FT,Data Scientist,213300,USD,213300,GB,0.0,GB,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Analyst,213210,USD,213210,US,100.0,US,M,Remote,Data Analyst / BI,Very High,False
2023,SE,FT,Data Architect,213120,USD,213120,US,100.0,US,M,Remote,Data Architecture / Infrastructure,Very High,False
2022,SE,FT,Data Architect,213120,USD,213120,US,100.0,US,M,Remote,Data Architecture / Infrastructure,Very High,False
2022,SE,FT,Data Engineer,213000,USD,213000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,MI,FT,Research Scientist,212800,USD,212800,US,0.0,US,L,On-site,Research,Very High,False
2024,MI,FT,Data Scientist,212800,USD,212800,US,0.0,US,L,On-site,Data Scientist,Very High,False
2024,SE,FT,Machine Learning Engineer,212800,USD,212800,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,MI,FT,Research Scientist,212800,USD,212800,US,0.0,US,L,On-site,Research,Very High,False
2023,SE,FT,Applied Scientist,212800,USD,212800,US,0.0,US,L,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,212800,USD,212800,US,0.0,US,L,On-site,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Engineer,212800,USD,212800,US,0.0,US,L,On-site,ML / AI Engineer,Very High,False
2022,SE,FT,Applied Scientist,212800,USD,212800,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,SE,FT,Data Scientist,212780,USD,212780,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,212780,USD,212780,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,212750,USD,212750,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,SE,FT,Machine Learning Engineer,212500,USD,212500,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,EX,FT,Data Engineer,212500,USD,212500,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,212500,USD,212500,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,212200,USD,212200,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Data Engineer,212175,USD,212175,US,100.0,US,M,Remote,Data Engineer,Very High,False
2024,SE,PT,Data Architect,212000,USD,212000,US,0.0,US,M,On-site,Data Architecture / Infrastructure,Very High,False
2024,SE,FT,Data Engineer,212000,USD,212000,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,AI Engineer,212000,USD,212000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,MI,FT,Data Scientist,212000,USD,212000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Research Analyst,212000,USD,212000,US,0.0,US,M,On-site,Research,Very High,False
2024,SE,FT,Machine Learning Engineer,212000,USD,212000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Architect,212000,USD,212000,AU,0.0,AU,M,On-site,Data Architecture / Infrastructure,Very High,False
2024,MI,FT,AI Product Manager,212000,USD,212000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,MI,FT,Data Scientist,212000,USD,212000,EG,0.0,EG,M,On-site,Data Scientist,Very High,False
2024,SE,FT,ML Engineer,212000,USD,212000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,EX,FT,Data Science Director,212000,USD,212000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,ML Engineer,212000,USD,212000,DE,0.0,DE,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,212000,USD,212000,EG,0.0,EG,M,On-site,ML / AI Engineer,Very High,False
2023,MI,FT,Data Scientist,212000,USD,212000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,MI,FT,Machine Learning Engineer,212000,USD,212000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Machine Learning Researcher,212000,USD,212000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,AI Engineer,212000,USD,212000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,EX,FT,Data Science Director,212000,USD,212000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Engineer,212000,USD,212000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2023,SE,FT,Data Analyst,212000,USD,212000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,Machine Learning Engineer,211949,USD,211949,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Research Scientist,211900,USD,211900,US,0.0,US,M,On-site,Research,Very High,False
2022,SE,FT,Data Scientist,211500,USD,211500,US,100.0,US,M,Remote,Data Scientist,Very High,False
2023,SE,FT,Research Engineer,211200,USD,211200,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Data Scientist,211000,USD,211000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2023,SE,FT,Data Science Manager,211000,USD,211000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,EX,FT,Data Engineer,210914,USD,210914,US,100.0,US,M,Remote,Data Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,210600,USD,210600,GB,100.0,GB,M,Remote,ML / AI Engineer,Very High,False
2023,EX,FT,Data Engineer,210600,USD,210600,US,100.0,US,M,Remote,Data Engineer,Very High,False
2023,SE,FT,Data Scientist,210550,USD,210550,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,MI,FT,Data Engineer,210500,USD,210500,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,MI,FT,Data Scientist,210400,USD,210400,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Machine Learning Engineer,210200,USD,210200,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2024,MI,FT,Data Engineer,210100,USD,210100,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,MI,FT,Machine Learning Engineer,210100,USD,210100,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Architect,210100,USD,210100,US,0.0,US,M,On-site,Data Architecture / Infrastructure,Very High,False
2024,SE,FT,MLOps Engineer,210000,USD,210000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Engineer,210000,USD,210000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2024,MI,FT,AI Engineer,210000,USD,210000,GB,0.0,GB,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Data Architect,210000,USD,210000,US,100.0,US,M,Remote,Data Architecture / Infrastructure,Very High,False
2024,SE,FT,Data Science Engineer,210000,USD,210000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,EX,FT,Head of Data,210000,USD,210000,US,0.0,US,M,On-site,Management,Very High,False
2024,SE,FT,Data Scientist,210000,USD,210000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,AI Engineer,210000,USD,210000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Machine Learning Engineer,210000,USD,210000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,SE,FT,Research Scientist,210000,USD,210000,US,0.0,US,M,On-site,Research,Very High,False
2024,MI,FT,Machine Learning Researcher,210000,USD,210000,US,0.0,US,M,On-site,Research,Very High,False
2024,SE,FT,Applied Scientist,210000,USD,210000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,SE,FT,Data Science,210000,USD,210000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2024,SE,FT,Research Analyst,210000,USD,210000,US,0.0,US,M,On-site,Research,Very High,False
2024,SE,FT,Machine Learning Scientist,210000,USD,210000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Data Scientist,210000,USD,210000,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Engineer,210000,USD,210000,CA,100.0,CA,M,Remote,Data Engineer,Very High,False
2023,MI,FT,Research Scientist,210000,USD,210000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Research Analyst,210000,USD,210000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Data Analyst,210000,USD,210000,US,100.0,US,M,Remote,Data Analyst / BI,Very High,False
2023,EX,FT,Data Engineer,210000,USD,210000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2023,SE,FT,Machine Learning Engineer,210000,USD,210000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2023,EX,FT,Analytics Engineer,210000,USD,210000,US,100.0,US,M,Remote,Data Analyst / BI,Very High,False
2023,SE,FT,Data Architect,210000,USD,210000,US,100.0,US,M,Remote,Data Architecture / Infrastructure,Very High,False
2023,MI,FT,Machine Learning Researcher,210000,USD,210000,US,0.0,US,S,On-site,Research,Very High,False
2023,SE,FT,Research Engineer,210000,USD,210000,US,0.0,US,M,On-site,Research,Very High,False
2023,SE,FT,Software Data Engineer,210000,USD,210000,US,100.0,US,L,Remote,Data Engineer,Very High,False
2023,SE,FT,Business Intelligence Engineer,210000,USD,210000,US,0.0,US,M,On-site,Data Analyst / BI,Very High,False
2023,SE,FT,NLP Engineer,210000,USD,210000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,GB,0.0,GB,M,On-site,ML / AI Engineer,Very High,False
2023,SE,FT,Computer Vision Engineer,210000,USD,210000,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2022,SE,FT,Machine Learning Engineer,210000,USD,210000,US,100.0,US,M,Remote,ML / AI Engineer,Very High,False
2022,SE,FT,Data Scientist,210000,USD,210000,US,100.0,US,M,Remote,Data Scientist,Very High,False
2022,SE,FT,Data Engineer,210000,USD,210000,US,100.0,US,M,Remote,Data Engineer,Very High,False
2022,SE,FT,Research Scientist,210000,USD,210000,US,100.0,US,M,Remote,Research,Very High,False
2022,SE,FT,Data Architect,210000,USD,210000,US,100.0,US,M,Remote,Data Architecture / Infrastructure,Very High,False
2022,EX,FT,Analytics Engineer,210000,USD,210000,US,100.0,US,M,Remote,Data Analyst / BI,Very High,False
2022,SE,FT,Big Data Engineer,210000,CAD,161311,CA,50.0,CA,M,Hybrid,Data Analyst / BI,High,False
2024,SE,FT,Analytics Engineer,209990,USD,209990,CA,0.0,CA,M,On-site,Data Analyst / BI,Very High,False
2024,SE,FT,Data Engineer,209943,USD,209943,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,EX,FT,Machine Learning Engineer,209700,USD,209700,US,0.0,US,M,On-site,ML / AI Engineer,Very High,False
2024,EX,FT,Data Science,209700,USD,209700,US,0.0,US,M,On-site,Data Scientist,Very High,False
2023,SE,FT,Data Scientist,209450,USD,209450,US,100.0,US,M,Remote,Data Scientist,Very High,False
2024,EX,FT,Data Engineer,209309,USD,209309,US,0.0,US,M,On-site,Data Engineer,Very High,False
2024,SE,FT,Data Engineer,209300,USD,209300,US,0.0,US,M,On-site,Data Engineer,Very High,False
2023,MI,FT,Data Scientist,209300,USD,209300,US,100.0,US,M,Remote,Data Scientist,Very High,False
2022,SE,FT,Data Engineer,209100,USD,209100,US,100.0,US,L,Remote,Data Engineer,Very High,False
2024,SE,FT,Applied Scientist,209000,USD,209000,PL,100.0,PL,M,Remote,Data Scientist,Very High,False
2024,MI,FT,Data Engineer,209000,USD,209000,US,0.0,US,M,On-site,Data Engineer,Very High,False
