occupation,unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,occupation_short
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2022-Q2,55.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2022-Q3,55.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2022-Q4,57.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2023-Q1,57.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2023-Q2,56.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2023-Q3,55.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2023-Q4,51.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2024-Q1,48.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2024-Q2,48.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2024-Q3,46.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2024-Q4,47.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2025-Q1,47.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,HU,HUNGARY,2025-Q2,46.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2019-Q4,58.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2020-Q1,57.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2020-Q2,58.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2020-Q3,58.9,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2020-Q4,60.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2021-Q1,61.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2021-Q2,61.0,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2021-Q3,60.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2021-Q4,59.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2022-Q1,59.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2022-Q2,58.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2022-Q3,58.9,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2022-Q4,59.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2023-Q1,58.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2023-Q2,57.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2023-Q3,57.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2023-Q4,56.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2024-Q1,56.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2024-Q2,56.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2024-Q3,56.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2024-Q4,57.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2025-Q1,58.0,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IE,IRELAND,2025-Q2,58.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IS,ICELAND,2024-Q1,63.9,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IS,ICELAND,2024-Q3,66.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IS,ICELAND,2024-Q4,56.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IS,ICELAND,2025-Q1,56.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2019-Q4,55.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2020-Q1,56.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2020-Q2,56.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2020-Q3,56.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2020-Q4,56.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2021-Q1,56.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2021-Q2,54.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2021-Q3,53.9,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2021-Q4,51.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2022-Q1,51.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2022-Q2,51.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2022-Q3,51.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2022-Q4,51.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2023-Q1,49.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2023-Q2,48.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2023-Q3,48.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2023-Q4,48.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2024-Q1,48.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2024-Q2,48.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2024-Q3,47.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2024-Q4,46.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2025-Q1,46.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,IT,ITALY,2025-Q2,51.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LI,LIECHTENSTEIN,2023-Q4,52.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LI,LIECHTENSTEIN,2024-Q1,54.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LI,LIECHTENSTEIN,2024-Q4,55.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LI,LIECHTENSTEIN,2025-Q1,52.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2019-Q4,66.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2020-Q1,67.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2020-Q2,66.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2020-Q3,65.0,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2020-Q4,64.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2021-Q1,65.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2021-Q2,63.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2021-Q3,60.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2021-Q4,58.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2022-Q1,58.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2022-Q2,58.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2022-Q3,59.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2022-Q4,58.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2023-Q1,58.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2023-Q2,58.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2023-Q3,59.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2023-Q4,57.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2024-Q1,57.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2024-Q2,58.0,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2024-Q3,57.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2024-Q4,58.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2025-Q1,58.0,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LT,LITHUANIA,2025-Q2,57.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2019-Q4,58.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2020-Q1,55.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2020-Q2,55.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2020-Q3,53.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2021-Q2,55.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2021-Q3,57.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2021-Q4,58.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2022-Q1,61.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2022-Q2,63.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2022-Q3,64.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2022-Q4,63.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2023-Q1,62.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2023-Q2,61.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2023-Q3,60.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2023-Q4,60.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2024-Q1,61.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2024-Q2,62.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2024-Q3,62.0,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2024-Q4,60.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2025-Q1,58.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LU,LUXEMBOURG,2025-Q2,57.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2020-Q1,56.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2020-Q2,58.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2020-Q3,55.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2020-Q4,53.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2021-Q1,53.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2021-Q2,51.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2021-Q3,53.0,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2021-Q4,52.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2022-Q1,51.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2022-Q2,49.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2022-Q3,48.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2022-Q4,46.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2023-Q1,43.9,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2023-Q2,43.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2023-Q3,42.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2023-Q4,43.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2024-Q1,43.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2024-Q2,43.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2024-Q3,41.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2024-Q4,40.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2025-Q1,39.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,LV,LATVIA,2025-Q2,40.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2020-Q2,50.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2020-Q3,54.9,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2020-Q4,55.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2021-Q1,65.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2021-Q2,65.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2021-Q3,55.0,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2021-Q4,55.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2022-Q1,53.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2022-Q2,53.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2022-Q3,51.3,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2022-Q4,47.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2023-Q1,43.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2023-Q2,43.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2023-Q3,44.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2023-Q4,45.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2024-Q1,46.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2024-Q2,40.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2024-Q3,37.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2024-Q4,34.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2025-Q1,36.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,MT,MALTA,2025-Q2,41.2,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2019-Q4,69.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2020-Q1,70.0,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2020-Q2,70.8,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2020-Q3,71.0,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2020-Q4,71.4,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2021-Q1,71.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2021-Q2,71.7,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2021-Q3,71.6,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2021-Q4,71.5,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2022-Q1,71.1,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2022-Q2,69.9,SOFTWARE & APP DEVELOPERS
SOFTWARE AND APPLICATIONS DEVELOPERS AND ANALYSTS,PERCENTAGE,NL,NETHERLANDS,2022-Q3,69.6,SOFTWARE & APP DEVELOPERS
